id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
CIE 2609,𐌅𐌄:𐌐𐌖𐌊𐌄:𐌅,ve:puce:f,𐌅𐌄:𐌐𐌖𐌂𐌄:𐌚,ve puce f,,,,1.000,clean,b007edc8973f,1
CIE 2615,𐌈𐌀𐌍𐌉𐌀:𐌐𐌖𐌋𐌅𐌍𐌄𐌉:𐌕𐌖𐌕𐌍𐌀𐌔𐌀,θania:pulfnei:tutnasa,𐌈𐌀𐌍𐌉𐌀:𐌐𐌖𐌋𐌚𐌍𐌄𐌉:𐌕𐌖𐌕𐌍𐌀𐌔𐌀,θania pulfnei tutnasa,,,,1.000,clean,f9f4c8b2f8c7,1
TCa 8,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,𐌉𐌑'𐌅𐌄.𐌉.𐌕𐌖𐌋𐌄 𐌉𐌋𐌖.𐌂.𐌅𐌄 .𐌀.𐌐𐌉𐌓𐌀𐌔𐌄 𐌋𐌄𐌈𐌀.𐌌.𐌔𐌖.𐌋. 𐌉𐌋𐌖𐌂𐌖 𐌂𐌖𐌉𐌄.𐌔.𐌙𐌖 𐌐𐌄.𐌓.𐌐𐌓𐌉,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,"On the Ides, on the ilucu, in April, for (the divinity) Lethams ilucu cuieskhu must be celebrated (?).",,,1.000,clean,0b2b75442972,1
Vs 1.178,vel leinies : larθial : ruva : arnθialum | clan : velusum : prumaθσ : avils : semφσ | lupuce,vel leinies larθial ruva arnθialum clan velusum prumaθσ avils semφσ lupuce,𐌅𐌄𐌋 𐌋𐌄𐌉𐌍𐌉𐌄𐌔 𐌋𐌀𐌓𐌈𐌉𐌀𐌋 𐌓𐌖𐌅𐌀 𐌀𐌓𐌍𐌈𐌉𐌀𐌋𐌖𐌌 𐌂𐌋𐌀𐌍 𐌅𐌄𐌋𐌖𐌔𐌖𐌌 𐌐𐌓𐌖𐌌𐌀𐌈𐌑 𐌀𐌅𐌉𐌋𐌔 𐌔𐌄𐌌𐌘𐌑 𐌋𐌖𐌐𐌖𐌂𐌄,vel leinies larθial ruva arnθialum clan velusum prumaθσ avils semφσ lupuce,"Vel Leinies, brother of Larth (and) son o f Arnth (and) great-grandson (?) of Vel, died at seven years of age.",,,1.000,clean,b0c214ea221a,1
CIE 2616,IAN8VJV1 ANV+: VEA,IAN8VJV1 ANV+: VEA,,,,,,0.000,ocr_failed,c18a628776f7,1
CIE 2617,A18VA9:1M 8V1:OJ,A18VA9:1M 8V1:OJ,,,,,,0.000,ocr_failed,6086349f43ff,1
Ta 1.35,σ'eθre curunas • | velus [ • ] [r]amθa[s] [ • ] avenalc | sam man • σuθ[i]θ • arce | ...,σ'eθre curunas • velus [ • ] [r]amθa[s] [ • ] avenalc sam man • σuθ[i]θ • arce ...,𐌑'𐌄𐌈𐌓𐌄 𐌂𐌖𐌓𐌖𐌍𐌀𐌔 • 𐌅𐌄𐌋𐌖𐌔 [ • ] [𐌓]𐌀𐌌𐌈𐌀[𐌔] [ • ] 𐌀𐌅𐌄𐌍𐌀𐌋𐌂 𐌔𐌀𐌌 𐌌𐌀𐌍 • 𐌑𐌖𐌈[𐌉]𐌈 • 𐌀𐌓𐌂𐌄 ...,σ'eθre curunas velus avenalc sam man arce ...,Shethre Curunas (was) (son) of Vel and Ramtha Avenei; and this (man) constructed the monument (?) in the tomb ...,,,0.571,clean,1c0f2dc23dc2,1
Ve 6.2,mi<ni> mamarce zinace,mi<ni> mamarce zinace,𐌌𐌉<𐌍𐌉> 𐌌𐌀𐌌𐌀𐌓𐌂𐌄 𐌆𐌉𐌍𐌀𐌂𐌄,mamarce zinace,Mamarce made me.,650.0,625.0,0.667,clean,c23330ee349d,1
Vs 2.40,turis : mi : une : ame,turis mi une ame,𐌕𐌖𐌓𐌉𐌔 𐌌𐌉 𐌖𐌍𐌄 𐌀𐌌𐌄,turis mi une ame,"Doris, I am for you (?).",,,1.000,clean,96269178670c,1
CIE 2608,𐌋𐌀𐌓𐌈:𐌐𐌓𐌖𐌍𐌉𐌍𐌉:𐌊𐌖𐌕𐌍𐌀𐌋,larθ:prunini:cutnal,𐌋𐌀𐌓𐌈:𐌐𐌓𐌖𐌍𐌉𐌍𐌉:𐌂𐌖𐌕𐌍𐌀𐌋,larθ prunini cutnal,,,,1.000,clean,d8c58cce0fc0,1
CIE 2618,A21HJA1A9:1M8JV1,A21HJA1A9:1M8JV1,,,,,,0.000,ocr_failed,4502a4ed1f60,1
ETP 61,hursu[mnas---],hursu[mnas---],𐌇𐌖𐌓𐌔𐌖[𐌌𐌍𐌀𐌔---],,,500.0,400.0,0.000,clean,553f18240c6e,1
Pe 5.2,eθ : fanu : lautn : precuσ : ipa : murzua : cerurum : ein :  | heczri,eθ fanu lautn precuσ ipa murzua cerurum ein heczri,𐌄𐌈 𐌚𐌀𐌍𐌖 𐌋𐌀𐌖𐌕𐌍 𐌐𐌓𐌄𐌂𐌖𐌑 𐌉𐌐𐌀 𐌌𐌖𐌓𐌆𐌖𐌀 𐌂𐌄𐌓𐌖𐌓𐌖𐌌 𐌄𐌉𐌍 𐌇𐌄𐌂𐌆𐌓𐌉,eθ fanu lautn precuσ ipa murzua cerurum ein heczri,"This tomb ... must be careshri-ed by members of the Precu family, Aule (and) Larth, the sons of Larth and Cestnei.",,,1.000,clean,cfff365d62e4,1
CIE 261,ƎNƎM·AΘNA):IИO·ƆM,eNeM·AΘNA):InO·cM,,eNeM InO cM,,,,0.750,clean,62d2b8b64d8a,1
Cl 1.147,lθ : peθna : aθ : titial : ścire,lθ peθna aθ titial ścire,𐌋𐌈 𐌐𐌄𐌈𐌍𐌀 𐌀𐌈 𐌕𐌉𐌕𐌉𐌀𐌋 𐌑𐌂𐌉𐌓𐌄,lθ peθna aθ titial ścire,"Larth Pethna Shcire, (son) of Arnth and Titi",,,1.000,clean,4eed9c0777ba,1
Cr 1.6,li • tarχnas • crucrials,li • tarχnas • crucrials,𐌋𐌉 • 𐌕𐌀𐌓𐌙𐌍𐌀𐌔 • 𐌂𐌓𐌖𐌂𐌓𐌉𐌀𐌋𐌔,li tarχnas crucrials,"Laris Tarkhnas, (born) from Crucri",,,1.000,clean,f87d4737e032,1
Cr 1.60,marce • maclae,marce • maclae,𐌌𐌀𐌓𐌂𐌄 • 𐌌𐌀𐌂𐌋𐌀𐌄,marce maclae,Marce Maclae,,,1.000,clean,4953abc238d1,1
Cr 3.18,mi liceneši mulu hirsunaieši,mi liceneši mulu hirsunaieši,𐌌𐌉 𐌋𐌉𐌂𐌄𐌍𐌄𐌔𐌉 𐌌𐌖𐌋𐌖 𐌇𐌉𐌓𐌔𐌖𐌍𐌀𐌉𐌄𐌔𐌉,mi liceneši mulu hirsunaieši,I (am) given by Licene Hirsunaie.,,,1.000,clean,4602983df60c,1
14878,------thpi------,------θpi------,------𐌈𐌐𐌉------,,,,,0.000,clean,fd549a495d55,1
Pe 8.4,iχ • ca | ceχa • ziχuχe,iχ • ca ceχa • ziχuχe,𐌉𐌙 • 𐌂𐌀 𐌂𐌄𐌙𐌀 • 𐌆𐌉𐌙𐌖𐌙𐌄,iχ ca ceχa ziχuχe,as (?) this (contract) was written above,,,1.000,clean,cc1c14f7d1bf,1
CIE 2221,vipine:hu···as,vipine:hu···as,𐌅𐌉𐌐𐌉𐌍𐌄:𐌇𐌖···𐌀𐌔,vipine hu as,,,,1.000,clean,c12e41ef1a0c,1
ETP 313,arnθ • vipina • cuφre,arnθ • vipina • cuφre,𐌀𐌓𐌍𐌈 • 𐌅𐌉𐌐𐌉𐌍𐌀 • 𐌂𐌖𐌘𐌓𐌄,arnθ vipina cuφre,,100.0,0.0,1.000,clean,d3eba43c1efa,1
ETP 314,tania,tania,𐌕𐌀𐌍𐌉𐌀,tania,,,,1.000,clean,37755b1afe16,1
Fa 3.1,mi aliqu : auvilesi,mi aliqu auvilesi,𐌌𐌉 𐌀𐌋𐌉𐌒𐌖 𐌀𐌖𐌅𐌉𐌋𐌄𐌔𐌉,mi aliqu auvilesi,I (am) presented by Avile.,,,1.000,clean,cf45e087aaf9,1
Ta 1.96,lartiu cuclnies • larθal • clan | larθialc einanal | camθi eterau,lartiu cuclnies • larθal • clan larθialc einanal camθi eterau,𐌋𐌀𐌓𐌕𐌉𐌖 𐌂𐌖𐌂𐌋𐌍𐌉𐌄𐌔 • 𐌋𐌀𐌓𐌈𐌀𐌋 • 𐌂𐌋𐌀𐌍 𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌂 𐌄𐌉𐌍𐌀𐌍𐌀𐌋 𐌂𐌀𐌌𐌈𐌉 𐌄𐌕𐌄𐌓𐌀𐌖,lartiu cuclnies larθal clan larθialc einanal camθi eterau,"Lartiu Cuclnies, son of Larth and Larthi Einanei, camthi eterau.",,,1.000,clean,bf11c5f08998,1
CIE 2610,𐌐𐌖𐌊𐌍𐌀:𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌉𐌔𐌀,vel:pucna:larθialisa,𐌅𐌄𐌋:𐌐𐌖𐌂𐌍𐌀:𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌉𐌔𐌀,vel pucna larθialisa,,,,1.000,clean,d620435fc06d,1
Cl 1.1006,vel • fastntru • aθ,vel • fastntru • aθ,𐌅𐌄𐌋 • 𐌚𐌀𐌔𐌕𐌍𐌕𐌓𐌖 • 𐌀𐌈,vel fastntru aθ,"Vel Fastntru, (son) o f Arnth",,,1.000,clean,ec65618ac9a2,1
Cr 1.138,r • matunai | canatnei,r • matunai canatnei,𐌓 • 𐌌𐌀𐌕𐌖𐌍𐌀𐌉 𐌂𐌀𐌍𐌀𐌕𐌍𐌄𐌉,r matunai canatnei,Ramtha Matunai Canatnei,,,1.000,clean,7c10b97d46f7,1
Cr 1.5,av • tarχnas • av • c • | crucrials •,av • tarχnas • av • c • crucrials •,𐌀𐌅 • 𐌕𐌀𐌓𐌙𐌍𐌀𐌔 • 𐌀𐌅 • 𐌂 • 𐌂𐌓𐌖𐌂𐌓𐌉𐌀𐌋𐌔 •,av tarχnas av c crucrials,"Aule Tarkhnas, son of Aule, (born) from Crucri",,,1.000,clean,ecac7c598990,1
Ta 1.13,larθi : spantui : larces : spantus : seχ : arnθal : partunus : puia :,larθi spantui larces spantus seχ arnθal partunus puia,𐌋𐌀𐌓𐌈𐌉 𐌔𐌐𐌀𐌍𐌕𐌖𐌉 𐌋𐌀𐌓𐌂𐌄𐌔 𐌔𐌐𐌀𐌍𐌕𐌖𐌔 𐌔𐌄𐌙 𐌀𐌓𐌍𐌈𐌀𐌋 𐌐𐌀𐌓𐌕𐌖𐌍𐌖𐌔 𐌐𐌖𐌉𐌀,larθi spantui larces spantus seχ arnθal partunus puia,"Larthi Spantui, daughter of Larce Spantus, wife of Arnth Partunus",,,1.000,clean,ab28314dbc37,1
Vt S.2,eca : sren :  | tva : iχna | c hercle :  | unial cl | an : θra{ : }sce,eca sren tva iχna c hercle unial cl an θra{ }sce,𐌄𐌂𐌀 𐌔𐌓𐌄𐌍 𐌕𐌅𐌀 𐌉𐌙𐌍𐌀 𐌂 𐌇𐌄𐌓𐌂𐌋𐌄 𐌖𐌍𐌉𐌀𐌋 𐌂𐌋 𐌀𐌍 𐌈𐌓𐌀{ }𐌔𐌂𐌄,eca sren tva iχna c hercle unial cl an,This scene (?) shows (?) that Hercle became the son of Uni.,,,0.818,clean,fb6f9791b287,1
ETP 43,mi lauχumeśa katilaσ',mi lauχumeśa katilaσ',𐌌𐌉 𐌋𐌀𐌖𐌙𐌖𐌌𐌄𐌑𐌀 𐌊𐌀𐌕𐌉𐌋𐌀𐌑',mi lauχumeśa katilaσ',I (am) the (cippus) of Laukhume Katila.,550.0,500.0,1.000,clean,526c5705c20c,1
ETP 91,a b c d,a b c d,𐌀 𐌁 𐌂 𐌃,a b c d,,675.0,650.0,1.000,clean,f82ce1b653e3,1
Li 1.1,mi śuθi larθial muθikuσ,mi śuθi larθial muθikuσ,𐌌𐌉 𐌑𐌖𐌈𐌉 𐌋𐌀𐌓𐌈𐌉𐌀𐌋 𐌌𐌖𐌈𐌉𐌊𐌖𐌑,mi śuθi larθial muθikuσ,I (am) the tomb of Larth Muthiku.,500.0,500.0,1.000,clean,6de90da64aa1,1
Ta 1.66,vel : aties : velθurus : lemniσ'a : celati cesu,vel aties velθurus lemniσ'a celati cesu,𐌅𐌄𐌋 𐌀𐌕𐌉𐌄𐌔 𐌅𐌄𐌋𐌈𐌖𐌓𐌖𐌔 𐌋𐌄𐌌𐌍𐌉𐌑'𐌀 𐌂𐌄𐌋𐌀𐌕𐌉 𐌂𐌄𐌔𐌖,vel aties velθurus lemniσ'a celati cesu,"Vel Aties, the (son) of Velthur and Lemni, (was) buried in this chamber.",300.0,300.0,1.000,clean,9eee226682f3,1
Ta 1.59,ravnθu | velχai | velθuruσ'a | seχ | larθialiσ'la,ravnθu velχai velθuruσ'a seχ larθialiσ'la,𐌓𐌀𐌅𐌍𐌈𐌖 𐌅𐌄𐌋𐌙𐌀𐌉 𐌅𐌄𐌋𐌈𐌖𐌓𐌖𐌑'𐌀 𐌔𐌄𐌙 𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌉𐌑'𐌋𐌀,ravnθu velχai velθuruσ'a seχ larθialiσ'la,"Ravnthu Velkhai, the daughter of Velthur, (who is) the (son) of Larth",,,1.000,clean,28ce9c13249c,1
Cl 1.1134,vel : tite : aules,vel tite aules,𐌅𐌄𐌋 𐌕𐌉𐌕𐌄 𐌀𐌖𐌋𐌄𐌔,vel tite aules,"Vel Tite, (son) of Aule",,,1.000,clean,5d74f19bf7f3,1
Cl 1.2513,aθ : tiφile : palpe : pulias,aθ tiφile palpe pulias,𐌀𐌈 𐌕𐌉𐌘𐌉𐌋𐌄 𐌐𐌀𐌋𐌐𐌄 𐌐𐌖𐌋𐌉𐌀𐌔,aθ tiφile palpe pulias,"Arnth Tiphile Palpe, (son) of Pulia",,,1.000,clean,2253c1feb225,1
Cl 1.970,hasti : petruσ :,hasti petruσ,𐌇𐌀𐌔𐌕𐌉 𐌐𐌄𐌕𐌓𐌖𐌑,hasti petruσ,"Hasti, (slave) o f Petru",,,1.000,clean,33211efeba0f,1
Pe 1.219,l • eucle • φisis • lavtni,l • eucle • φisis • lavtni,𐌋 • 𐌄𐌖𐌂𐌋𐌄 • 𐌘𐌉𐌔𐌉𐌔 • 𐌋𐌀𐌅𐌕𐌍𐌉,l eucle φisis lavtni,"Larth Eucle, freedman of Phisi",,,1.000,clean,9c866c28f069,1
ETP 315,larnei,larnei,𐌋𐌀𐌓𐌍𐌄𐌉,larnei,,,,1.000,clean,fff0a580e7a8,1
CIE 2222,ha·vi·harp,ha·vi·harp,𐌇𐌀·𐌅𐌉·𐌇𐌀𐌓𐌐,ha vi harp,,,,1.000,clean,7d46a9c8f8da,1
Ta 1.147,ceicnas : arnθ : arnθal : avils : XXIX,ceicnas arnθ arnθal avils xxix,𐌂𐌄𐌉𐌂𐌍𐌀𐌔 𐌀𐌓𐌍𐌈 𐌀𐌓𐌍𐌈𐌀𐌋 𐌀𐌅𐌉𐌋𐌔 𐌗𐌗𐌉𐌗,ceicnas arnθ arnθal avils xxix,"Arnth Ceicnas, (son) of Arnth, (dead) at age twenty-nine",,,1.000,clean,17839fde5203,1
Vc 1.84,tutes • arnθ • larθal,tutes • arnθ • larθal,𐌕𐌖𐌕𐌄𐌔 • 𐌀𐌓𐌍𐌈 • 𐌋𐌀𐌓𐌈𐌀𐌋,tutes arnθ larθal,"Arnth Tutes, (son) of Larth",,,1.000,clean,488520799ace,1
Vs 1.120,[mi ma]marces apenas qutus,[mi ma]marces apenas qutus,[𐌌𐌉 𐌌𐌀]𐌌𐌀𐌓𐌂𐌄𐌔 𐌀𐌐𐌄𐌍𐌀𐌔 𐌒𐌖𐌕𐌖𐌔,apenas qutus,I (am the tomb) of Marce Apenas Qutu.,,,0.500,clean,a2bdcd5694ab,1
Vs 1.28,mi larθia hulχenas veθurus cles,mi larθia hulχenas veθurus cles,𐌌𐌉 𐌋𐌀𐌓𐌈𐌉𐌀 𐌇𐌖𐌋𐌙𐌄𐌍𐌀𐌔 𐌅𐌄𐌈𐌖𐌓𐌖𐌔 𐌂𐌋𐌄𐌔,mi larθia hulχenas veθurus cles,"I (am the tomb) of Larth Hulkhenas, son of Velthur.",,,1.000,clean,ad99635f9497,1
Vn 1.1,[mi] aveleσ feluśkeσ tuσnutai[-pa] panalaσ mini mulvaneke hirumi[n]a φerśnaχś,[mi] aveleσ feluśkeσ tuσnutai[-pa] panalaσ mini mulvaneke hirumi[n]a φerśnaχś,[𐌌𐌉] 𐌀𐌅𐌄𐌋𐌄𐌑 𐌚𐌄𐌋𐌖𐌑𐌊𐌄𐌑 𐌕𐌖𐌑𐌍𐌖𐌕𐌀𐌉[-𐌐𐌀] 𐌐𐌀𐌍𐌀𐌋𐌀𐌑 𐌌𐌉𐌍𐌉 𐌌𐌖𐌋𐌅𐌀𐌍𐌄𐌊𐌄 𐌇𐌉𐌓𐌖𐌌𐌉[𐌍]𐌀 𐌘𐌄𐌓𐌑𐌍𐌀𐌙𐌑,aveleσ feluśkeσ panalaσ mini mulvaneke φerśnaχś,"I (am the stele) of Avile Felushke, tuσmutai[-], (son) of Papanai. Hirumina, phershnakhsh, gave me.",600.0,600.0,0.667,clean,e9f2e3e35c87,1
16860,ar,ar,𐌀𐌓,ar,mr-arnths mr-arnth,,,1.000,clean,ab5b62081b1d,4
Pe 1.211,lar{n}θ • scarpe • lautni,lar{n}θ • scarpe • lautni,𐌋𐌀𐌓{𐌍}𐌈 • 𐌔𐌂𐌀𐌓𐌐𐌄 • 𐌋𐌀𐌖𐌕𐌍𐌉,scarpe lautni,"Larth Shcarpe, freedman",100.0,100.0,0.667,clean,ad2de4b2c7f6,1
CIE 2453,𐌋𐌀𐌓𐌈𐌉.𐌌𐌀𐌓𐌉𐌂𐌀𐌍𐌄,larθi.maricane,𐌋𐌀𐌓𐌈𐌉.𐌌𐌀𐌓𐌉𐌂𐌀𐌍𐌄,larθi.maricane,,,,1.000,clean,9e78e38f7c37,1
Cr 1.10,avle • tarχnas • larθal • clan,avle • tarχnas • larθal • clan,𐌀𐌅𐌋𐌄 • 𐌕𐌀𐌓𐌙𐌍𐌀𐌔 • 𐌋𐌀𐌓𐌈𐌀𐌋 • 𐌂𐌋𐌀𐌍,avle tarχnas larθal clan,"Aule Tarkhnas, son o f Larth",,,1.000,clean,0b4c81510522,1
Cr 3.20,mi<ni> aranθ ramuθaςi veςtiricinala muluvanice,mi<ni> aranθ ramuθaςi veςtiricinala muluvanice,𐌌𐌉<𐌍𐌉> 𐌀𐌓𐌀𐌍𐌈 𐌓𐌀𐌌𐌖𐌈𐌀𐌑𐌉 𐌅𐌄𐌑𐌕𐌉𐌓𐌉𐌂𐌉𐌍𐌀𐌋𐌀 𐌌𐌖𐌋𐌖𐌅𐌀𐌍𐌉𐌂𐌄,aranθ ramuθaςi veςtiricinala muluvanice,Aranth gave me to Ramutha Vestiricinai.,,,0.800,clean,9fbf7a9248b0,1
ETP 94,uniθiu,uniθiu,𐌖𐌍𐌉𐌈𐌉𐌖,uniθiu,,200.0,200.0,1.000,clean,90001cfa6df1,3
Sp 2.36,mi faσena tataσ tulaluσ,mi faσena tataσ tulaluσ,𐌌𐌉 𐌚𐌀𐌑𐌄𐌍𐌀 𐌕𐌀𐌕𐌀𐌑 𐌕𐌖𐌋𐌀𐌋𐌖𐌑,mi faσena tataσ tulaluσ,I (am) the libation vessel of Tata Tulalu.,,,1.000,clean,de174373b6c2,1
Ta 3.2,itun turuce vene.l .a.telinas tinas cliniiaras,itun turuce vene.l .a.telinas tinas cliniiaras,𐌉𐌕𐌖𐌍 𐌕𐌖𐌓𐌖𐌂𐌄 𐌅𐌄𐌍𐌄.𐌋 .𐌀.𐌕𐌄𐌋𐌉𐌍𐌀𐌔 𐌕𐌉𐌍𐌀𐌔 𐌂𐌋𐌉𐌍𐌉𐌉𐌀𐌓𐌀𐌔,itun turuce vene.l .a.telinas tinas cliniiaras,Venel Atelinas dedicated this (vase) to the sons of Tinia.,580.0,580.0,1.000,clean,6defb1251b65,1
LL 11,vinum • θic ...,vinum • θic ...,𐌅𐌉𐌍𐌖𐌌 • 𐌈𐌉𐌂 ...,vinum θic ...,wine and water,,,1.000,clean,a5f67edee82e,1
CIE 2261,ƎSƎΘOƎAS MVOVƧIAO,eSeΘOeAS MVOVsIAO,,eSeΘOeAS MVOVsIAO,,,,1.000,clean,0e0876e10342,1
Vt 3.1,mini muluvanice vhlakunaie venel,mini muluvanice vhlakunaie venel,𐌌𐌉𐌍𐌉 𐌌𐌖𐌋𐌖𐌅𐌀𐌍𐌉𐌂𐌄 𐌅𐌇𐌋𐌀𐌊𐌖𐌍𐌀𐌉𐌄 𐌅𐌄𐌍𐌄𐌋,mini muluvanice vhlakunaie venel,Venel Vhlakunaie gave me (as a gift).,,,1.000,clean,ace654c519a5,1
CIE 2611,𐌐𐌖𐌕𐌉𐌀𐌋𐌉𐌔𐌀:𐌔𐌄𐌊,putialisa:sec,𐌐𐌖𐌕𐌉𐌀𐌋𐌉𐌔𐌀:𐌔𐌄𐌂,putialisa sec,,,,1.000,clean,bdcf251bbed0,1
14781,v--lthurthelen----,v--lθurθelen----,𐌅--𐌋𐌈𐌖𐌓𐌈𐌄𐌋𐌄𐌍----,,,,,0.000,clean,c1f4d625572c,1
Pe 1.948,śuθiσ' : eca penθuna cai : velσ' : caiσ' θareσ' : lautni,śuθiσ' eca penθuna cai velσ' caiσ' θareσ' lautni,𐌑𐌖𐌈𐌉𐌑' 𐌄𐌂𐌀 𐌐𐌄𐌍𐌈𐌖𐌍𐌀 𐌂𐌀𐌉 𐌅𐌄𐌋𐌑' 𐌂𐌀𐌉𐌑' 𐌈𐌀𐌓𐌄𐌑' 𐌋𐌀𐌖𐌕𐌍𐌉,śuθiσ' eca penθuna cai velσ' caiσ' θareσ' lautni,"This (is) the cippus of the tomb. Cai, freedman of Vel Cai Thare.",,,1.000,clean,64ea7640e36d,1
Ta 1.107,felsnas : la : leθes svalce : avil : CVI murce : capue tleχe : hanipaluscle,felsnas la leθes svalce avil cvi murce capue tleχe hanipaluscle,𐌚𐌄𐌋𐌔𐌍𐌀𐌔 𐌋𐌀 𐌋𐌄𐌈𐌄𐌔 𐌔𐌅𐌀𐌋𐌂𐌄 𐌀𐌅𐌉𐌋 𐌂𐌅𐌉 𐌌𐌖𐌓𐌂𐌄 𐌂𐌀𐌐𐌖𐌄 𐌕𐌋𐌄𐌙𐌄 𐌇𐌀𐌍𐌉𐌐𐌀𐌋𐌖𐌔𐌂𐌋𐌄,felsnas la leθes svalce avil cvi murce capue tleχe hanipaluscle,"Larth Felsnas, (son) of Lethe, lived for 1θ6 years. He murce in Capua. He tlekhe in the (army) of Hanipal.",200.0,100.0,1.000,clean,53e536fa2670,1
ETP 101,ceisei,ceisei,𐌂𐌄𐌉𐌔𐌄𐌉,ceisei,,200.0,150.0,1.000,clean,71b339d6fe7f,1
ETP 95,atakus,atakus,𐌀𐌕𐌀𐌊𐌖𐌔,atakus,,300.0,250.0,1.000,clean,7aca5d84a9f1,2
OA 2.2,mi larθaia telicles leχtumuza,mi larθaia telicles leχtumuza,𐌌𐌉 𐌋𐌀𐌓𐌈𐌀𐌉𐌀 𐌕𐌄𐌋𐌉𐌂𐌋𐌄𐌔 𐌋𐌄𐌙𐌕𐌖𐌌𐌖𐌆𐌀,mi larθaia telicles leχtumuza,"I (am) the oil-flask of Larthai, of the (family) Telicles.",650.0,600.0,1.000,clean,838852eb6786,1
ETP 121,[---]xiiene.[---],[---]xiiene.[---],[---]𐌗𐌉𐌉𐌄𐌍𐌄.[---],,,600.0,550.0,0.000,clean,73b5923ea93d,1
Cr 3.10,mi mulu larisale velχainasi,mi mulu larisale velχainasi,𐌌𐌉 𐌌𐌖𐌋𐌖 𐌋𐌀𐌓𐌉𐌔𐌀𐌋𐌄 𐌅𐌄𐌋𐌙𐌀𐌉𐌍𐌀𐌔𐌉,mi mulu larisale velχainasi,I (was) given to Laris Velkhainas.,,,1.000,clean,111f55fd9f09,1
Fa 6.3,mi araθiale ziχuχe,mi araθiale ziχuχe,𐌌𐌉 𐌀𐌓𐌀𐌈𐌉𐌀𐌋𐌄 𐌆𐌉𐌙𐌖𐌙𐌄,mi araθiale ziχuχe,I was painted by Ara(n)th.,,,1.000,clean,14060ec65b64,1
LL 2,nunθenθ • cletram • σrenχve | tei • faσei,nunθenθ • cletram • σrenχve tei • faσei,𐌍𐌖𐌍𐌈𐌄𐌍𐌈 • 𐌂𐌋𐌄𐌕𐌓𐌀𐌌 • 𐌑𐌓𐌄𐌍𐌙𐌅𐌄 𐌕𐌄𐌉 • 𐌚𐌀𐌑𐌄𐌉,nunθenθ cletram σrenχve tei faσei,(One) shall place (it) on the rakh (while) anointing (?) the litter with σrenχve (and) with this libation,,,1.000,clean,9fa08cc131bc,1
Pe 3.1,eta : kavθaσ : aχuiaσ : perśie | avle numnaσ turke,eta kavθaσ aχuiaσ perśie avle numnaσ turke,𐌄𐌕𐌀 𐌊𐌀𐌅𐌈𐌀𐌑 𐌀𐌙𐌖𐌉𐌀𐌑 𐌐𐌄𐌓𐌑𐌉𐌄 𐌀𐌅𐌋𐌄 𐌍𐌖𐌌𐌍𐌀𐌑 𐌕𐌖𐌓𐌊𐌄,eta kavθaσ aχuiaσ perśie avle numnaσ turke,This (vase) is for (the divinity) Kautha Akhuia in Perusia; Aule Numna dedicated (it as an offering).,,,1.000,clean,c395a1ccdd85,1
ETP 316,θana larn ei cestinal a,θana larn ei cestinal a,𐌈𐌀𐌍𐌀 𐌋𐌀𐌓𐌍 𐌄𐌉 𐌂𐌄𐌔𐌕𐌉𐌍𐌀𐌋 𐌀,θana larn ei cestinal a,,,,1.000,clean,7e61c7122d4e,1
AV 6.9,pultuceσi,pultuceσi,𐌐𐌖𐌋𐌕𐌖𐌂𐌄𐌑𐌉,pultuceσi,in the (workshop) of Pultuce,150.0,150.0,1.000,clean,5b93586fc663,1
Vc 6.6,ruvfies : acil,ruvfies acil,𐌓𐌖𐌅𐌚𐌉𐌄𐌔 𐌀𐌂𐌉𐌋,ruvfies acil,the work o f Ruvfie,300.0,200.0,1.000,clean,b6a4db74fa8c,1
ETP 58,nan[---],nan[---],𐌍𐌀𐌍[---],,,,,0.000,clean,9b2d5b467878,1
Vc 1.59,clθi [ : ] [σ'uθi]θi : ra[m] [;] ceisatrui | cesu : p[ru]σlnas : [p]uia velus | rapi : [---]e : te[---],clθi [ ] [σ'uθi]θi ra[m] [;] ceisatrui cesu p[ru]σlnas [p]uia velus rapi [---]e te[---],𐌂𐌋𐌈𐌉 [ ] [𐌑'𐌖𐌈𐌉]𐌈𐌉 𐌓𐌀[𐌌] [;] 𐌂𐌄𐌉𐌔𐌀𐌕𐌓𐌖𐌉 𐌂𐌄𐌔𐌖 𐌐[𐌓𐌖]𐌑𐌋𐌍𐌀𐌔 [𐌐]𐌖𐌉𐌀 𐌅𐌄𐌋𐌖𐌔 𐌓𐌀𐌐𐌉 [---]𐌄 𐌕𐌄[---],clθi ceisatrui cesu velus rapi,"In this tomb (was) buried Ramtha Ceisatrui, the wife of Vel Prushlnas, rapi ...",,,0.333,clean,07a9fee11a4f,1
