id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
9438,nachruaslat,naχruaslat,𐌍𐌀𐌙𐌓𐌖𐌀𐌔𐌋𐌀𐌕,naχruaslat,nachruaslat,,,1.000,clean,e0449581cdba,1
9445,arinas,arinas,𐌀𐌓𐌉𐌍𐌀𐌔,arinas,,,,1.000,clean,42e13c52f124,1
9446,arinas larth(i)al papals,arinas larθ(i)al papals,𐌀𐌓𐌉𐌍𐌀𐌔 𐌋𐌀𐌓𐌈(𐌉)𐌀𐌋 𐌐𐌀𐌐𐌀𐌋𐌔,arinas papals,of-mr-lartharinamrs-larthisgrandsonmrs-larthisson,,,0.667,clean,35d9453a510e,1
9449,mi suthi larthial,mi suθi larθial,𐌌𐌉 𐌔𐌖𐌈𐌉 𐌋𐌀𐌓𐌈𐌉𐌀𐌋,mi suθi larθial,,,,1.000,clean,a42292d3635d,1
945,v(e)l(ia) fastntru marcn(i)al,v(e)l(ia) fastntru marcn(i)al,𐌅(𐌄)𐌋(𐌉𐌀) 𐌚𐌀𐌔𐌕𐌍𐌕𐌓𐌖 𐌌𐌀𐌓𐌂𐌍(𐌉)𐌀𐌋,fastntru,,,,0.333,clean,1010b451cdb4,1
7036,calxusu,calxusu,𐌂𐌀𐌋𐌗𐌖𐌔𐌖,calxusu,,,,1.000,clean,d3b62073decc,1
7051,tursunial,tursunial,𐌕𐌖𐌓𐌔𐌖𐌍𐌉𐌀𐌋,tursunial,,,,1.000,clean,d454607cb77a,1
7052,larzlcazitas,larzlcazitas,𐌋𐌀𐌓𐌆𐌋𐌂𐌀𐌆𐌉𐌕𐌀𐌔,larzlcazitas,,,,1.000,clean,c7b9eeec5554,1
7057,thanatlesneir,θanatlesneir,𐌈𐌀𐌍𐌀𐌕𐌋𐌄𐌔𐌍𐌄𐌉𐌓,θanatlesneir,,,,1.000,clean,cdc5228b69e9,1
7061,fchlll,fχlll,𐌚𐌙𐌋𐌋𐌋,fχlll,,,,1.000,clean,95a6e878f1e9,1
7086,siki,siki,𐌔𐌉𐌊𐌉,siki,,,,1.000,clean,4c1cd66c13cc,1
7093,ecamutnaaulesvelisinascae,ecamutnaaulesvelisinascae,𐌄𐌂𐌀𐌌𐌖𐌕𐌍𐌀𐌀𐌖𐌋𐌄𐌔𐌅𐌄𐌋𐌉𐌔𐌉𐌍𐌀𐌔𐌂𐌀𐌄,ecamutnaaulesvelisinascae,seethe-sarcophagusof-mr-aulevelisina,,,1.000,clean,94205fedcb1a,1
7094,------thuruscae--,------θuruscae--,------𐌈𐌖𐌓𐌖𐌔𐌂𐌀𐌄--,,seethe-sarcophagus,,,0.000,clean,cdc6102ac763,1
7102,viscna,viscna,𐌅𐌉𐌔𐌂𐌍𐌀,viscna,,,,1.000,clean,61fbeb2c6113,1
946,arnth fastntru marcn(i)al,arnθ fastntru marcn(i)al,𐌀𐌓𐌍𐌈 𐌚𐌀𐌔𐌕𐌍𐌕𐌓𐌖 𐌌𐌀𐌓𐌂𐌍(𐌉)𐌀𐌋,arnθ fastntru,,,,0.667,clean,209091074f60,1
9471,c(a)e,c(a)e,𐌂(𐌀)𐌄,,,,,0.000,clean,32906664311c,2
9474,mi spanti nuzina(s),mi spanti nuzina(s),𐌌𐌉 𐌔𐌐𐌀𐌍𐌕𐌉 𐌍𐌖𐌆𐌉𐌍𐌀(𐌔),mi spanti,mr-ecnatnas,,,0.667,clean,d5ba81c074a4,1
9479,mlakasi,mlakasi,𐌌𐌋𐌀𐌊𐌀𐌔𐌉,mlakasi,ian-offeringfor-mr-arnthachmaka,,,1.000,clean,abecdfb30d70,1
948,vilin(i)al,vilin(i)al,𐌅𐌉𐌋𐌉𐌍(𐌉)𐌀𐌋,,,,,0.000,clean,41692805ece9,1
9482,atrane,atrane,𐌀𐌕𐌓𐌀𐌍𐌄,atrane,mr-atrane,,,1.000,clean,519f25592af4,3
