artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
368573,"Sb 24479","TCL 32, 092",Dahl2019TCL32,primary,92,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,42.0,18.0,33.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368574,"Sb 24480","TCL 32, 093",Dahl2019TCL32,primary,93,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,54.0,22.0,54.0,,,,,,,,,,undetermined,,,,,,S999999,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368575,"Sb 24481","TCL 32, 094",Dahl2019TCL32,primary,94,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,26.0,22.0,36.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368576,"Sb 24482","TCL 32, 095",Dahl2019TCL32,primary,95,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,21.0,15.0,18.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368577,"Sb 24483","TCL 32, 096",Dahl2019TCL32,primary,96,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,36.0,14.0,27.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368578,"Sb 24484","TCL 32, 097",Dahl2019TCL32,primary,97,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,36.0,17.0,18.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368579,"Sb 24485","TCL 32, 098",Dahl2019TCL32,primary,98,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,24.0,14.0,26.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368580,"Sb 24486","TCL 32, 099",Dahl2019TCL32,primary,99,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,34.0,14.0,22.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368581,"Sb 24487","TCL 32, 100",Dahl2019TCL32,primary,100,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,26.0,16.0,39.0,,,,,,,,,,undetermined,,,,,,S999999,,,,,0,,0,,0,"MDP 16 no. 330",0,,,,,,0,,,0,0,0,0,,
368582,"Sb 24488","TCL 32, 101",Dahl2019TCL32,primary,101,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,28.0,16.0,39.0,,,,,,,,,,undetermined,,,,,,S999999,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
